Type,Nom de fonction racine,Nom de la fonction,Échantillons inclusifs,Échantillons exclusifs,% d'échantillons inclusifs,% d'échantillons exclusifs,
"Root","[clr.dll]","[clr.dll]",461,455,"10,21","10,08",
"Caller","[clr.dll]","EssaiJobImp.BonLivraison.lectureBL",42,41,"0,93","0,91",
"Caller","[clr.dll]","EssaiJobImp.Form1.s_myTimer_Tick",1,1,"0,02","0,02",
"Caller","[clr.dll]","EssaiJobImp.Form1.s_myTimer_Tick3",1,1,"0,02","0,02",
"Caller","[clr.dll]","EssaiJobImp.Form1.s_myTimer_Tick6",10,10,"0,22","0,22",
"Caller","[clr.dll]","EssaiJobImp.Form1.Timer1_Click",2,2,"0,04","0,04",
"Caller","[clr.dll]","EssaiJobImp.Imprimante.lectureSpooler",10,10,"0,22","0,22",
"Caller","[clr.dll]","EssaiJobImp.ParseurBL.miseEnForm",46,25,"1,02","0,55",
"Caller","[clr.dll]","iTextSharp.text.Chunk..cctor",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.Document.AddDocListener",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.Document.AddProducer",11,11,"0,24","0,24",
"Caller","[clr.dll]","iTextSharp.text.Document.Close",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.Document.Open",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.FontFactory..cctor",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.FontFactoryImp.GetFont",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.FontFactoryImp.GetFont",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.Image.GetInstance",9,9,"0,20","0,20",
"Caller","[clr.dll]","iTextSharp.text.Image.GetInstance",5,5,"0,11","0,11",
"Caller","[clr.dll]","iTextSharp.text.Image.GetMatrix",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.Jpeg.ProcessParameters",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.Paragraph.Add",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.BaseFont.CreateEncoding",7,3,"0,16","0,07",
"Caller","[clr.dll]","iTextSharp.text.pdf.BaseFont.CreateFont",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.pdf.BaseFont.CreateFont",3,3,"0,07","0,07",
"Caller","[clr.dll]","iTextSharp.text.pdf.BaseFont.GetWidth",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.BaseFont.NormalizeEncoding",7,7,"0,16","0,16",
"Caller","[clr.dll]","iTextSharp.text.pdf.BidiLine.CreateArrayOfPdfChunks",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.BidiLine.GetParagraph",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.BidiLine.ProcessLine",4,4,"0,09","0,09",
"Caller","[clr.dll]","iTextSharp.text.pdf.ByteBuffer.Append",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.ByteBuffer.Append",5,5,"0,11","0,11",
"Caller","[clr.dll]","iTextSharp.text.pdf.codec.PngImage.DecodePass",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.pdf.codec.PngImage.GetImage",4,4,"0,09","0,09",
"Caller","[clr.dll]","iTextSharp.text.pdf.codec.PngImage.GetImage",8,8,"0,18","0,18",
"Caller","[clr.dll]","iTextSharp.text.pdf.codec.PngImage.GetPixel",5,5,"0,11","0,11",
"Caller","[clr.dll]","iTextSharp.text.pdf.codec.PngImage.ProcessPixels",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.codec.PngImage.ReadPng",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.ColumnText.AddWaitingPhrase",3,3,"0,07","0,07",
"Caller","[clr.dll]","iTextSharp.text.pdf.ColumnText.Go",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.pdf.ColumnText.Go",19,19,"0,42","0,42",
"Caller","[clr.dll]","iTextSharp.text.pdf.ColumnText.GoComposite",5,5,"0,11","0,11",
"Caller","[clr.dll]","iTextSharp.text.pdf.ColumnText.SetACopy",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.FontDetails.ConvertToBytes",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.GlyphList..cctor",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.intern.PdfAnnotationsImp..ctor",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.intern.PdfAnnotationsImp.HasValidAcroForm",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.intern.PdfVersionImp.GetVersionAsByteArray",2,1,"0,04","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.intern.PdfViewerPreferencesImp.AddToCatalog",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.PageResources.AddXObject",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.PdfChunk..ctor",2,2,"0,04","0,04",
"Caller","[clr.dll]","iTextSharp.text.pdf.PdfChunk..ctor",1,1,"0,02","0,02",
"Caller","[clr.dll]","iTextSharp.text.pdf.PdfContentByte..ctor",1,1,"0,02","0,02",
