Nom de la fonction,Échantillons inclusifs,Échantillons exclusifs,% d'échantillons inclusifs,% d'échantillons exclusifs,
"[System.Printing.ni.dll]",2 815,2 815,"62,33","62,33",
"[System.Windows.Forms.ni.dll]",4 516,1 031,"100,00","22,83",
"[clr.dll]",461,455,"10,21","10,08",
"[mscorlib.ni.dll]",165,165,"3,65","3,65",
"[System.ni.dll]",9,9,"0,20","0,20",
"[System.Xml.ni.dll]",8,8,"0,18","0,18",
"[ntdll.dll]",5,5,"0,11","0,11",
"System.util.zlib.Adler32.adler32",4,4,"0,09","0,09",
"System.util.zlib.Deflate.deflate_slow",15,3,"0,33","0,07",
"EssaiJobImp.Form1.s_myTimer_Tick",487,2,"10,78","0,04",
"iTextSharp.text.pdf.RandomAccessFileOrArray.ReadLine",2,2,"0,04","0,04",
"System.util.zlib.Deflate.longest_match",2,2,"0,04","0,04",
"System.util.zlib.InfCodes.inflate_fast",2,2,"0,04","0,04",
"[WindowsBase.ni.dll]",1,1,"0,02","0,02",
"EssaiJobImp.Form1.s_myTimer_Tick5",474,1,"10,50","0,02",
"EssaiJobImp.Imprimante.lectureSpooler",3 465,1,"76,73","0,02",
"iTextSharp.text.pdf.codec.PngImage.GetImage",45,1,"1,00","0,02",
"iTextSharp.text.pdf.codec.PngImage.PaethPredictor",1,1,"0,02","0,02",
"iTextSharp.text.pdf.codec.PngImage.SetPixel",1,1,"0,02","0,02",
"iTextSharp.text.pdf.ColumnText.Go",67,1,"1,48","0,02",
"iTextSharp.text.pdf.PdfLine.get_Descender",1,1,"0,02","0,02",
"iTextSharp.text.pdf.PdfPCell.GetMaxHeight",42,1,"0,93","0,02",
"iTextSharp.text.pdf.Type1Font.Process",18,1,"0,40","0,02",
"System.util.StringTokenizer.NextToken",8,1,"0,18","0,02",
"System.util.zlib.Deflate.fill_window",1,1,"0,02","0,02",
"System.util.zlib.Deflate.send_bits",1,1,"0,02","0,02",
"EssaiJobImp.BonLivraison.chargementXML",1,0,"0,02","0,00",
"EssaiJobImp.BonLivraison.lectureBL",502,0,"11,12","0,00",
"EssaiJobImp.Form1.s_myTimer_Tick2",546,0,"12,09","0,00",
"EssaiJobImp.Form1.s_myTimer_Tick3",509,0,"11,27","0,00",
"EssaiJobImp.Form1.s_myTimer_Tick4",503,0,"11,14","0,00",
"EssaiJobImp.Form1.s_myTimer_Tick6",1 018,0,"22,54","0,00",
"EssaiJobImp.Form1.Timer1_Click",4,0,"0,09","0,00",
"EssaiJobImp.ParseurBL.miseEnForm",383,0,"8,48","0,00",
"EssaiJobImp.Program.Main",4 516,0,"100,00","0,00",
"iTextSharp.text.Chunk..cctor",2,0,"0,04","0,00",
"iTextSharp.text.Document.Add",115,0,"2,55","0,00",
"iTextSharp.text.Document.AddCreationDate",1,0,"0,02","0,00",
"iTextSharp.text.Document.AddDocListener",1,0,"0,02","0,00",
"iTextSharp.text.Document.AddProducer",12,0,"0,27","0,00",
"iTextSharp.text.Document.Close",39,0,"0,86","0,00",
"iTextSharp.text.Document.Open",28,0,"0,62","0,00",
"iTextSharp.text.Font.GetCalculatedBaseFont",5,0,"0,11","0,00",
"iTextSharp.text.FontFactory..cctor",2,0,"0,04","0,00",
"iTextSharp.text.FontFactory.GetFont",45,0,"1,00","0,00",
"iTextSharp.text.FontFactoryImp.GetFont",45,0,"1,00","0,00",
"iTextSharp.text.FontFactoryImp.GetFont",43,0,"0,95","0,00",
"iTextSharp.text.Image.GetInstance",63,0,"1,40","0,00",
