Type,ID unique,ID,Nom,Heure de début,Heure de fin,Durée de vie,
"Process",0,5412,"EssaiJobImp.exe","0,00","33 421,12","33 421,12",
"Thread",0,4396,"Inconnu","0,00","33 421,12","33 421,12",
"Thread",1,6832,"Inconnu","0,00","33 421,12","33 421,12",
"Thread",2,5036,"Inconnu","0,00","33 421,12","33 421,12",
"Thread",3,6484,"Inconnu","0,00","33 421,12","33 421,12",
"Thread",4,4304,"Inconnu","0,00","33 421,12","33 421,12",
"Thread",5,7780,"Inconnu","22 199,81","22 201,88","2,07",
"Thread",6,2260,"Inconnu","22 202,55","33 421,12","11 218,57",
"Thread",7,1084,"Inconnu","22 202,89","33 421,12","11 218,23",
"Thread",8,1568,"Inconnu","22 203,09","33 421,12","11 218,03",
"Thread",9,4288,"Inconnu","22 380,59","33 421,12","11 040,53",
"Thread",10,1792,"Inconnu","22 380,63","23 881,27","1 500,64",
"Thread",11,7660,"Inconnu","22 381,07","33 421,12","11 040,05",
